Station Name,Datetime,Wind_Dir_Deg,Wind_Max_mph,Air_Temp_Avg
Black Diamond,2021-05-02 20:00:00,252,19.0,63.0
Black Diamond,2021-05-02 21:00:00,264,17.0,62.0
Black Diamond,2021-05-02 22:00:00,261,22.0,60.0
Black Diamond,2021-05-02 23:00:00,269,23.0,61.0
Black Diamond,2021-05-02 00:00:00,277,22.0,63.0
Black Diamond,2021-05-01 01:00:00,233,27.0,58.0
Black Diamond,2021-05-01 02:00:00,258,23.0,55.0
Black Diamond,2021-05-01 03:00:00,260,31.0,53.0
Black Diamond,2021-05-01 04:00:00,263,29.0,52.0
Black Diamond,2021-05-01 05:00:00,264,28.0,52.0
Black Diamond,2021-05-01 06:00:00,264,27.0,55.0
Black Diamond,2021-05-01 07:00:00,269,24.0,57.0
Black Diamond,2021-05-01 08:00:00,270,28.0,60.0
Black Diamond,2021-05-01 09:00:00,271,30.0,63.0
Black Diamond,2021-05-01 10:00:00,272,34.0,66.0
Black Diamond,2021-05-01 11:00:00,273,37.0,65.0
Black Diamond,2021-05-01 12:00:00,266,37.0,67.0
Black Diamond,2021-05-01 13:00:00,270,39.0,67.0
Black Diamond,2021-05-01 14:00:00,274,34.0,66.0
Black Diamond,2021-05-01 15:00:00,271,36.0,64.0
Black Diamond,2021-05-01 16:00:00,273,34.0,62.0
Black Diamond,2021-05-01 17:00:00,269,32.0,60.0
Black Diamond,2021-05-01 18:00:00,269,27.0,58.0
Black Diamond,2021-05-01 19:00:00,259,24.0,58.0
Black Diamond,2021-05-01 20:00:00,244,24.0,58.0
Black Diamond,2021-05-01 21:00:00,252,23.0,57.0
Black Diamond,2021-05-01 22:00:00,261,27.0,55.0
Black Diamond,2021-05-01 23:00:00,261,26.0,54.0
Black Diamond,2021-05-01 00:00:00,268,29.0,53.0
Briones,2021-05-08 01:00:00,247,12.0,52.0
Briones,2021-05-08 02:00:00,310,19.0,56.0
Briones,2021-05-08 03:00:00,330,16.0,60.0
Briones,2021-05-08 04:00:00,331,17.0,59.0
Briones,2021-05-08 05:00:00,339,17.0,60.0
Briones,2021-05-08 06:00:00,329,14.0,64.0
Briones,2021-05-08 07:00:00,336,15.0,69.0
Briones,2021-05-08 08:00:00,355,12.0,71.0
Briones,2021-05-08 09:00:00,32,16.0,76.0
Briones,2021-05-08 10:00:00,10,17.0,80.0
Briones,2021-05-08 11:00:00,3,19.0,83.0
Briones,2021-05-08 12:00:00,30,16.0,85.0
Briones,2021-05-08 13:00:00,26,14.0,87.0
Briones,2021-05-08 14:00:00,12,16.0,87.0
Briones,2021-05-08 15:00:00,346,15.0,88.0
Briones,2021-05-08 16:00:00,301,15.0,85.0
Briones,2021-05-08 17:00:00,234,17.0,79.0
Briones,2021-05-08 18:00:00,237,21.0,74.0
Briones,2021-05-08 19:00:00,235,18.0,71.0
Briones,2021-05-08 20:00:00,243,15.0,67.0
Briones,2021-05-08 21:00:00,234,17.0,66.0
Briones,2021-05-08 22:00:00,270,17.0,65.0
Briones,2021-05-08 23:00:00,240,10.0,62.0
Briones,2021-05-08 00:00:00,260,12.0,60.0
Briones,2021-05-07 01:00:00,224,17.0,48.0
Briones,2021-05-07 02:00:00,226,17.0,47.0
Briones,2021-05-07 03:00:00,225,19.0,46.0
Briones,2021-05-07 04:00:00,227,21.0,45.0
Briones,2021-05-07 05:00:00,225,18.0,45.0
Briones,2021-05-07 06:00:00,231,15.0,49.0
Briones,2021-05-07 07:00:00,225,15.0,53.0
Briones,2021-05-07 08:00:00,226,15.0,55.0
Briones,2021-05-07 09:00:00,225,14.0,60.0
Briones,2021-05-07 10:00:00,217,11.0,66.0
Briones,2021-05-07 11:00:00,203,10.0,70.0
